time,open,high,low,close
820506600,576.23,591.84,526.8,591.82
823185000,591.82,647.34,589.01,622.83
825690600,622.83,637.92,585.33,609.69
828369000,609.69,669.74,597.42,666.73
830957400,666.73,700.65,646.02,692.39
833808600,692.39,704.09,648.93,677.3
836227800,677.33,687.95,572.79,636.01
838906200,636.01,685.15,635.36,663.57
841671000,663.57,757.83,650.48,737.58
844176600,737.58,786.75,727.14,751.99
846858600,751.99,836.15,748.97,834.01
849537000,844.63,873,798.13,821.36
852129000,821.36,938.11,806.17,921.55
854980200,921.55,928.31,835.87,850.46
857399400,850.46,874.28,784.54,797.06
859905000,818.74,877.95,779.17,874.74
862493400,874.74,988.4,872.59,958.85
865258200,958.85,993.16,917.34,957.3
867763800,957.3,1110.27,947.78,1107.03
870442200,1107.03,1151.82,1060.88,1074.17
873120600,1074.17,1139.7,1074.17,1097.17
875712600,1097.17,1153.89,926.97,1019.62
878567400,1019.62,1073.97,971.61,1050.51
880986600,1050.51,1085.35,937.22,990.8
883665000,1008.23,1082.08,933.01,1071.13
886429800,1071.13,1213.09,1071.13,1194.13
888849000,1194.13,1230.92,1123.86,1220.66
891441000,1220.66,1310.1,1172.87,1248.12
894029400,1248.12,1280.28,1180.23,1192.07
896707800,1192.07,1347.44,1157.88,1337.34
899299800,1337.34,1485.97,1326.07,1377.26
902151000,1377.26,1421.4,1140.03,1140.34
904656600,1140.34,1413.16,1118.12,1345.48
907248600,1345.48,1414.6,1063.27,1400.52
910017000,1400.52,1634.4,1395.53,1557.9
912522600,1632.04,1848.35986,1535.18,1836.01001
915201000,1836.01001,2128.18994,1833.42993,2127.18994
917879400,2127.18994,2150.83008,1864.8999,1925.27979
920298600,1925.96997,2168.68994,1870.36987,2106.38989
922977000,2106.38989,2283.5498,1952.36,2136.38989
925738200,2136.38989,2239.86011,1960.5498,2089.69995
928243800,2089.69995,2320.42993,1987.3999,2296.77002
930835800,2296.77002,2468.41992,2233.1499,2270.92993
933600600,2270.92993,2467.45996,2120.25977,2396.86987
936192600,2396.87012,2551.65991,2345.21997,2407.8999
938784600,2407.69995,2651.12012,2299.94995,2637.43994
941466600,2637.04004,3151.77002,2612.38989,2966.70996
944058600,2970.04004,3750.40991,2956.78979,3707.83008
946909800,3755.73999,3905.1001,3314.75,3570.0498
949415400,3580.29004,4297.46094,3544.92993,4266.94141
951921000,4275.71875,4816.34766,4049.97998,4397.83984
954768600,4355.69922,4355.69922,3107.41992,3773.17993
957187800,3789.19995,3871.92993,2897.26978,3324.07983
959866200,3331.80005,3990.20996,3331.7998,3763.78979
962631000,3763.79004,4089.03979,3437.58984,3609.3501
965136600,3609.3501,4080.47998,3341.82983,4077.58984
967815000,4084.11011,4147.19141,3505.17993,3570.60986
970493400,3613.73999,3613.86011,2956.19995,3282.2998
973089000,3214.3999,3369.46997,2426.40991,2506.53979
975681000,2566.67993,2990.83008,2174.75977,2341.69995
978445800,2341.28003,2771.62988,2087.31982,2593
981037800,2586.23999,2627.38989,1880.46997,1908.31982
983457000,1879.84009,2029.01001,1530.13989,1573.25
986218200,1569.65991,1981.8999,1348.51978,1855.1499
988723800,1854.66992,2070.61011,1768.61987,1799.88989
991402200,1826.02002,1963.83008,1655.25977,1830.18994
994080600,1831.41992,1864.19995,1580.56982,1683.60986
996672600,1713.66992,1766.58008,1438.90991,1469.69995
999610200,1466.32007,1502.66992,1088.95996,1168.36987
1001943000,1161.73999,1487.3999,1131.31982,1364.77979
1004625000,1381.69995,1644.37988,1358.71997,1596.0498
1007389800,1576.26001,1734.58008,1557.17993,1577.0498
1009981800,1590.70996,1710.22998,1481.45996,1550.16992
1012573800,1544.41992,1561.23999,1329.92993,1359.21997
1014993000,1373.1499,1573.41992,1370.31982,1452.80981
