time,open,high,low,close
-1383384600,150.9,153.13,135.2,140.46
-1380706200,140.35,144.55,136.27,143.71
-1377945000,140.53,143.43,137.16,143.43
-1375439400,142.3,154.03,142.3,153.04
-1372847400,153.01,160.58,153.01,160.18
-1370082600,161.84,166.14,160.41,162.51
-1367490600,163.93,166.1,156.26,158.19
-1364895000,159.69,159.69,145.66,150.76
-1362216600,150.51,157.37,150.51,156.55
-1359624600,157.31,160.75,156.65,157.2
-1356773400,155.16,156.56,152.73,156.41
-1354267800,156.26,161.96,154.31,161.96
-1351848600,161.42,161.78,158.41,160.08
-1349170200,160.71,167.36,160.71,164.64
-1346495400,164.55,172.96,164.55,172.96
-1343903400,171.98,171.98,165.73,166.23
-1341311400,168.06,181.4,168.06,181.4
-1338633000,184.21,190.63,177.13,189.79
-1335954600,191.56,198.97,191.56,197.59
-1333186200,199.78,199.78,181.43,181.73
-1330680600,181.65,198.21,181.65,198.21
-1328088600,196.58,200.93,193.58,200.7
-1325323800,203.35,203.35,194.5,198.59
-1322731800,197.98,199.35,191.8,194.78
-1320226200,194.81,214.45,194.53,214.45
-1317461400,209.33,216.93,207.94,211.63
-1314959400,213.48,220.88,211.73,219.81
-1312281000,220.27,220.27,201.96,210.37
-1309602600,208.21,216,205.1,216
-1307010600,216.78,240.41,214.08,240.41
-1304159400,240.25,241.72,236.86,237.38
-1301736600,240.01,260.39,233.6,252.16
-1299058200,255.23,299.35,251.56,293.38
-1296293400,289.23,301.61,254.36,300
-1293787800,307.01,319.96,292.89,317.51
-1291109400,319.68,324.51,293.4,317.41
-1288690200,321.18,324.4,281.51,308.85
-1286011800,300.4,321.09,294.11,319.29
-1283423400,320.13,331.01,290.02,297.41
-1280572200,304.2,335.25,298.53,331.65
-1278153000,335.22,350.26,332.23,347.7
-1275474600,350.56,383.96,336.13,380.33
-1272709800,381.17,386.1,341.06,343.45
-1270200600,342.57,358.77,212.33,273.51
-1267522200,257.68,269.75,195.35,238.95
-1264843800,241.7,267.56,226.39,248.48
-1262251800,244.2,268.71,241.78,267.14
-1259400600,266.54,275,259.78,271.11
-1256981400,271.11,289.13,268.94,286.1
-1254475800,287.11,297.25,272.24,279.23
-1251887400,274.59,281.95,249.82,275.07
-1249122600,274.45,276.86,207.74,226.34
-1246617000,223.03,243.65,214.64,233.99
-1243938600,233.57,241.35,214.49,240.42
-1241260200,240.42,247.21,201.95,204.9
-1238664600,214.14,216.89,181.53,183.35
-1235813400,185.39,191.28,168.32,180.91
-1233394200,185.48,187.96,154.45,164.58
-1230715800,169.81,175.66,160.09,169.34
-1227951000,168.71,196.96,165.6,190.34
-1225531800,184.38,191.93,170.64,172.36
-1222939800,170.82,174.69,141.78,151.19
-1220351400,145.58,153.82,127.3,128.46
-1217673000,122.77,156.59,119.89,150.18
-1215081000,152.66,156.74,133.7,135.39
-1212229800,137.5,145.95,132.55,139.41
-1209724200,140.13,140.54,95.76,96.61
-1207128600,95.66,109.69,85.51,103.97
-1204363800,104.5,119.15,89.35,93.87
-1201858200,91.17,93.38,71.79,77.9
-1199179800,71.59,87.78,69.85,76.55
-1196501400,79.63,89.84,70.64,81.44
-1193995800,81.87,89.87,72.49,73.28
-1191317400,72.18,74.38,55.37,55.93
-1188642600,55.37,59.76,44.27,44.74
-1186050600,44.93,51.43,42.31,42.84
