time,close
-128908800,4.32
-126230400,4.42
-123552000,4.6
-121132800,4.66
-118454400,4.67
-115862400,4.9
-113184000,5.17
-110592000,5.3
-107913600,5.53
-105235200,5.4
-102643200,5.53
-99964800,5.76
-97372800,5.4
-94694400,4.94
-92016000,5
-89596800,4.53
-86918400,4.05
-84326400,3.94
-81648000,3.98
-79056000,3.79
-76377600,3.9
-73699200,3.99
-71107200,3.88
-68428800,4.13
-65836800,4.51
-63158400,4.61
-60480000,4.71
-57974400,5.05
-55296000,5.76
-52704000,6.12
-50025600,6.07
-47433600,6.03
-44755200,6.03
-42076800,5.78
-39484800,5.91
-36806400,5.82
-34214400,6.02
-31536000,6.3
-28857600,6.61
-26438400,6.79
-23760000,7.41
-21168000,8.67
-18489600,8.9
-15897600,8.61
-13219200,9.19
-10540800,9.15
-7948800,9
-5270400,8.85
-2678400,8.97
0,8.98
2678400,8.98
5097600,7.76
7776000,8.1
10368000,7.95
13046400,7.61
15638400,7.21
18316800,6.62
20995200,6.29
23587200,6.2
26265600,5.6
28857600,4.9
31536000,4.14
34214400,3.72
36633600,3.71
39312000,4.16
41904000,4.63
44582400,4.91
47174400,5.31
49852800,5.57
52531200,5.55
55123200,5.2
57801600,4.91
60393600,4.14
63072000,3.51
65750400,3.3
68256000,3.83
70934400,4.17
73526400,4.27
76204800,4.46
78796800,4.55
81475200,4.81
84153600,4.87
86745600,5.05
89424000,5.06
92016000,5.33
94694400,5.94
97372800,6.58
99792000,7.09
102470400,7.12
105062400,7.84
107740800,8.49
110332800,10.4
113011200,10.5
115689600,10.78
118281600,10.01
120960000,10.03
123552000,9.95
126230400,9.65
128908800,8.97
131328000,9.35
134006400,10.51
136598400,11.31
139276800,11.93
141868800,12.92
144547200,12.01
147225600,11.34
149817600,10.06
152496000,9.45
155088000,8.53
157766400,7.13
160444800,6.24
162864000,5.54
165542400,5.49
168134400,5.22
170812800,5.55
173404800,6.1
176083200,6.14
178761600,6.24
181353600,5.82
184032000,5.22
186624000,5.2
189302400,4.87
191980800,4.77
194486400,4.84
197164800,4.82
199756800,5.29
202435200,5.48
205027200,5.31
207705600,5.29
210384000,5.25
212976000,5.02
215654400,4.95
218246400,4.65
220924800,4.61
223603200,4.68
226022400,4.69
228700800,4.73
231292800,5.35
233971200,5.39
236563200,5.42
239241600,5.9
241920000,6.14
244512000,6.47
247190400,6.51
249782400,6.56
252460800,6.7
255139200,6.78
257558400,6.79
260236800,6.89
262828800,7.36
265507200,7.6
268099200,7.81
270777600,8.04
273456000,8.45
276048000,8.96
278726400,9.76
281318400,10.03
283996800,10.07
286675200,10.06
289094400,10.09
291772800,10.01
294364800,10.24
297043200,10.29
299635200,10.47
302313600,10.94
304992000,11.43
307584000,13.77
310262400,13.18
312854400,13.78
315532800,13.82
318211200,14.13
320716800,17.19
323395200,17.61
325987200,10.98
328665600,9.47
331257600,9.03
333936000,9.61
336614400,10.87
339206400,12.81
341884800,15.85
344476800,18.9
347155200,19.08
349833600,15.93
352252800,14.7
354931200,15.72
357523200,18.52
360201600,19.1
362793600,19.04
365472000,17.82
368150400,15.87
370742400,15.08
373420800,13.31
376012800,12.37
378691200,13.22
381369600,14.78
383788800,14.68
386467200,14.94
389059200,14.45
391737600,14.15
394329600,12.59
397008000,10.12
399686400,10.31
402278400,9.71
404956800,9.2
407548800,8.95
410227200,8.68
412905600,8.51
415324800,8.77
418003200,8.8
420595200,8.63
423273600,8.98
425865600,9.37
428544000,9.56
431222400,9.45
433814400,9.48
436492800,9.34
439084800,9.47
441763200,9.56
444441600,9.59
446947200,9.91
449625600,10.29
452217600,10.32
454896000,11.06
457488000,11.23
460166400,11.64
462844800,11.3
465436800,9.99
468115200,9.43
470707200,8.38
473385600,8.35
476064000,8.5
478483200,8.58
481161600,8.27
483753600,7.97
486432000,7.53
489024000,7.88
491702400,7.9
494380800,7.92
496972800,7.99
499651200,8.05
502243200,8.27
504921600,8.14
507600000,7.86
510019200,7.48
512697600,6.99
515289600,6.85
517968000,6.92
520560000,6.56
523238400,6.17
525916800,5.89
528508800,5.85
531187200,6.04
533779200,6.91
536457600,6.43
539136000,6.1
541555200,6.13
544233600,6.37
546825600,6.85
549504000,6.73
552096000,6.58
554774400,6.73
557452800,7.22
560044800,7.29
562723200,6.69
565315200,6.77
567993600,6.83
570672000,6.58
573177600,6.58
575856000,6.87
578448000,7.09
581126400,7.51
583718400,7.75
586396800,8.01
589075200,8.19
591667200,8.3
594345600,8.35
596937600,8.76
599616000,9.12
602294400,9.36
604713600,9.85
607392000,9.84
609984000,9.81
612662400,9.53
615254400,9.24
617932800,8.99
620611200,9.02
623203200,8.84
625881600,8.55
628473600,8.45
631152000,8.23
633830400,8.24
636249600,8.28
638928000,8.26
641520000,8.18
644198400,8.29
646790400,8.15
649468800,8.13
652147200,8.2
654739200,8.11
657417600,7.81
660009600,7.31
662688000,6.91
665366400,6.25
667785600,6.12
670464000,5.91
673056000,5.78
675734400,5.9
678326400,5.82
681004800,5.66
683683200,5.45
686275200,5.21
