date,gdp
1982-04-01,1.6694
1982-05-01,1.3661666666666668
1982-06-01,1.0629333333333335
1982-07-01,0.7597
1982-08-01,-0.33173333333333344
1982-09-01,-1.423166666666667
1982-10-01,-2.5146
1982-11-01,-0.6447
1982-12-01,1.2252
1983-01-01,3.0951
1983-02-01,4.9536
1983-03-01,6.8121
1983-04-01,8.6706
1983-05-01,8.416733333333333
1983-06-01,8.162866666666666
1983-07-01,7.909
1983-08-01,6.764833333333333
1983-09-01,5.620666666666667
1983-10-01,4.4765
1983-11-01,5.763566666666667
1983-12-01,7.050633333333334
1984-01-01,8.3377
1984-02-01,8.050566666666667
1984-03-01,7.763433333333333
1984-04-01,7.4763
1984-05-01,5.8716
1984-06-01,4.2669
1984-07-01,2.6622
1984-08-01,3.0822
1984-09-01,3.5022
