Date,Raw_pcpi,Pct_pcpi,Raw_pcpix,Pct_pcpix,6m_change_pcpi,6m_change_pcpix
1996-12-01,159.1,0.0025204788909893,167.4,0.0011961722488038,1.5315890236120122,1.2091898428053138
1997-01-01,159.4,0.0018856065367693,167.8,0.002389486260454,1.5286624203821653,1.2673506336753348
1997-02-01,159.7,0.0018820577164364,168.1,0.0017878426698449,1.5903307888040619,1.2650602409638445
1997-03-01,159.8,0.0006261740763933,168.4,0.0017846519928614,1.3316423589093462,1.1411411411411443
1997-04-01,159.9,0.0006257822277846,168.9,0.0029691211401425,1.074589127686476,1.2589928057553879
1997-05-01,159.9,0.0,169.2,0.0017761989342806,0.7561436672967936,1.1961722488038173
1997-06-01,160.2,0.0018761726078797,169.4,0.0011820330969267,0.691389063482073,1.194743130227005
1997-07-01,160.4,0.0012484394506866,169.7,0.0017709563164107,0.6273525721455453,1.1323003575685275
1997-08-01,160.8,0.0024937655860348,169.8,0.0005892751915146,0.6887914840325804,1.0113027959548049
1997-09-01,161.2,0.0024875621890545,170.2,0.0023557126030622,0.8760951188986121,1.0688836104512989
1997-10-01,161.5,0.0018610421836229,170.6,0.0023501762632198,1.000625390869292,1.0065127294256904
1997-11-01,161.7,0.0012383900928791,170.8,0.0011723329425556,1.1257035647279423,0.9456264775413947
1997-12-01,161.8,0.0006184291898578,171.2,0.002341920374707,0.998751560549338,1.0625737898465104
1998-01-01,162.0,0.0012360939431395,171.6,0.0023364485981309,0.9975062344139696,1.1196228638774341
1998-02-01,162.0,0.0,171.9,0.0017482517482518,0.746268656716409,1.2367491166077604
1998-03-01,162.0,0.0,172.2,0.0017452006980802,0.496277915632759,1.1750881316098694
1998-04-01,162.2,0.0012345679012344,172.5,0.0017421602787457,0.43343653250773606,1.1137162954279134
1998-05-01,162.6,0.0024660912453762,172.9,0.0023188405797101,0.5565862708719838,1.2295081967213184
1998-06-01,162.8,0.0012300123001232,173.2,0.0017351069982647,0.6180469715698411,1.1682242990654235
1998-07-01,163.2,0.0024570024570023,173.5,0.0017321016166282,0.7407407407407307,1.1072261072261114
1998-08-01,163.4,0.0012254901960784,174.0,0.0028818443804035,0.8641975308641969,1.2216404886561838
1998-09-01,163.5,0.000611995104039,174.2,0.0011494252873562,0.92592592592593,1.1614401858304202
1998-10-01,163.9,0.002446483180428,174.4,0.0011481056257176,1.0480887792848392,1.1014492753623317
1998-11-01,164.1,0.0012202562538132,174.8,0.0022935779816513,0.9225092250922495,1.098901098901095
1998-12-01,164.4,0.0018281535648996,175.4,0.0034324942791761,0.9828009828009687,1.2702078521940052
1999-01-01,164.7,0.001824817518248,175.6,0.001140250855188,0.9191176470588314,1.2103746397694515
1999-04-01,165.9,0.0066747572815533,176.3,0.0034149117814457,1.220256253813301,1.089449541284404
1999-05-01,166.0,0.0006027727546713,176.5,0.0011344299489506,1.157830591102993,0.97254004576659
