Date,Raw,Pct,6m_pct_change,annualized_change
10/01/1990,137.6,0.003646973012399801,0.026865671641791003,0.053731343283582006
11/01/1990,138.0,0.0029069767441860517,0.026785714285714243,0.053571428571428485
12/01/1990,138.6,0.004347826086956497,0.02590673575129534,0.05181347150259068
01/01/1991,139.5,0.006493506493506551,0.02724594992636221,0.05449189985272442
02/01/1991,140.2,0.00501792114695343,0.026354319180087807,0.052708638360175614
03/01/1991,140.5,0.0021398002853068032,0.02479941648431806,0.04959883296863612
04/01/1991,140.9,0.002846975088967918,0.023982558139534968,0.047965116279069936
05/01/1991,141.3,0.002838892831795725,0.023913043478260954,0.04782608695652191
06/01/1991,141.8,0.0035385704175512345,0.023088023088023213,0.046176046176046426
07/01/1991,142.3,0.0035260930888576514,0.0200716845878137,0.0401433691756274
08/01/1991,142.9,0.0042164441321153046,0.019258202567760466,0.03851640513552093
09/01/1991,143.4,0.0034989503149054357,0.020640569395017835,0.04128113879003567
10/01/1991,143.7,0.0020920502092049986,0.019872249822569077,0.039744499645138154
11/01/1991,144.2,0.003479471120389599,0.020523708421797432,0.041047416843594864
12/01/1991,144.7,0.0034674063800277377,0.020451339915373602,0.040902679830747204
01/01/1992,145.1,0.0027643400138217533,0.019676739283204375,0.03935347856640875
02/01/1992,145.4,0.002067539627842896,0.01749475157452764,0.03498950314905528
03/01/1992,145.9,0.003438789546079679,0.017433751743375175,0.03486750348675035
04/01/1992,146.3,0.00274160383824551,0.018093249826026604,0.03618649965205321
05/01/1992,146.8,0.0034176349965824304,0.018030513176144403,0.036061026352288805
06/01/1992,147.1,0.002043596730245012,0.016586040082930242,0.033172080165860485
07/01/1992,147.6,0.003399048266485405,0.01722949689869056,0.03445899379738112
08/01/1992,147.9,0.002032520325203402,0.0171939477303989,0.0343878954607978
09/01/1992,148.1,0.0013522650439485862,0.015078821110349475,0.03015764222069895
10/01/1992,148.8,0.004726536124240566,0.017088174982911822,0.034176349965823645
11/01/1992,149.2,0.0026881720430105283,0.016348773841961695,0.03269754768392339
12/01/1992,149.6,0.002680965147453085,0.01699524133242692,0.03399048266485384
01/01/1993,150.1,0.0033422459893048817,0.01693766937669377,0.03387533875338754
02/01/1993,150.6,0.0033311125916055673,0.01825557809330621,0.03651115618661242
03/01/1993,150.8,0.0013280212483401943,0.018230925050641573,0.036461850101283146
04/01/1993,151.4,0.003978779840848823,0.017473118279569853,0.034946236559139705
05/01/1993,151.8,0.0026420079260238705,0.017426273458445194,0.03485254691689039
06/01/1993,152.1,0.0019762845849802257,0.016711229946524065,0.03342245989304813
07/01/1993,152.3,0.0013149243918475495,0.014656895403064737,0.029313790806129475
08/01/1993,152.8,0.0032829940906107247,0.014608233731739821,0.029216467463479643
09/01/1993,152.9,0.0006544502617800152,0.013925729442970783,0.027851458885941566
10/01/1993,153.4,0.0032701111837802888,0.01321003963011889,0.02642007926023778
11/01/1993,153.9,0.0032594524119948787,0.013833992094861622,0.027667984189723244
12/01/1993,154.3,0.002599090318388564,0.014464168310322269,0.028928336620644538
01/01/1994,154.5,0.0012961762799739152,0.014445173998686727,0.028890347997373455
02/01/1994,154.8,0.001941747572815622,0.013089005235602092,0.026178010471204185
03/01/1994,155.3,0.00322997416020665,0.015696533682145228,0.031393067364290456
04/01/1994,155.5,0.0012878300064391723,0.013689700130378058,0.027379400260756116
05/01/1994,155.9,0.0025723472668810476,0.01299545159194282,0.02599090318388564
06/01/1994,156.4,0.003207184092366866,0.013609850939727766,0.02721970187945553
07/01/1994,156.7,0.0019181585677747748,0.014239482200647175,0.02847896440129435
08/01/1994,157.1,0.002552648372686761,0.014857881136950793,0.029715762273901585
09/01/1994,157.5,0.0025461489497136114,0.014166130070830577,0.028332260141661153
10/01/1994,157.8,0.0019047619047620756,0.01479099678456599,0.02958199356913198
11/01/1994,158.2,0.0025348542458807355,0.014753046824887638,0.029506093649775276
12/01/1994,158.3,0.0006321112515803584,0.012148337595907964,0.024296675191815928
01/01/1995,159.0,0.004421983575489508,0.014677728142948383,0.029355456285896767
02/01/1995,159.4,0.002515723270440251,0.014640356460853033,0.029280712921706066
03/01/1995,159.9,0.0031367628607277265,0.015238095238095275,0.03047619047619055
04/01/1995,160.4,0.0031269543464664817,0.016476552598225565,0.03295310519645113
05/01/1995,160.7,0.0018703241895261513,0.015802781289506955,0.03160556257901391
06/01/1995,161.1,0.002489110143123918,0.017687934301958197,0.035375868603916394
07/01/1995,161.4,0.0018621973929238145,0.015094339622641546,0.030188679245283092
08/01/1995,161.8,0.0024783147459728205,0.015056461731493134,0.030112923462986267
09/01/1995,162.2,0.0024721878862792313,0.014383989993745985,0.02876797998749197
10/01/1995,162.7,0.0030826140567201676,0.01433915211970064,0.02867830423940128
11/01/1995,163.0,0.0018438844499077955,0.014312383322962113,0.028624766645924227
12/01/1995,163.1,0.0006134969325153339,0.012414649286157667,0.024829298572315334
01/01/1996,163.7,0.0036787247087675112,0.01425030978934314,0.02850061957868628
02/01/1996,164.0,0.0018326206475260953,0.013597033374536393,0.027194066749072786
03/01/1996,164.4,0.0024390243902439046,0.013563501849568541,0.027127003699137082
04/01/1996,164.6,0.001216545012165282,0.011677934849416139,0.023355869698832278
05/01/1996,165.0,0.002430133657351119,0.012269938650306749,0.024539877300613498
06/01/1996,165.4,0.00242424242424244,0.014101778050275975,0.02820355610055195
07/01/1996,165.7,0.0018137847642079041,0.012217470983506415,0.02443494196701283
